""31. Washington Plaza Hotel,$ 165.793
32. Hilton Garden Inn Barranquilla,$ 294.521
33. Hotel Dann Carlton Barranquilla,$ 285.000
34. Radisson Diamond Barranquilla,$ 212.611
35. Hotel Faranda Express Puerta del Sol,$ 162.001
36. GHL Hotel Barranquilla,$ 208.208
37. Estelar Apartamentos Barranquilla,$ 261.800
38. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
39. Mamy Dorme Hostel,$ 50.000
40. Hotel Genova Prado,$ 145.000
41. Hotel Majestic,$ 170.000
42. Hotel Ayenda Caribe Princess,$ 128.253
43. Hotel Rivera Del Mar,$ 95.000
44. Aquarius Hotel by DOT Light,$ 86.100
45. Hotel Granada Inn,$ 64.309
46. Hotel Ayenda Costa Linda 1321,$ 122.448
47. Hotel Casa Boston by DOT Light,$ 80.669
48. Ayenda 1311 Doral,$ 90.000
49. MS Alto Prado Superior,$ 136.016
50. Casa Aluna,$ 75.000
51. Ribai Hotels,$ 132.000$ 120.000
52. Hotel Marcari,$ 100.820
53. Ayenda 1313 Barahona 72,$ 107.791
54. Vallclaire Suites,$ 207.900
55. Hotel Interamericano,$ 70.528
56. Hotel Or Suites,$ 141.016$ 140.000
57. Ayenda Villa Santos Apartaestudios 1323,$ 135.284$ 99.264
58. Hotel Del Mar Inn,$ 70.528
59. Hotel San Diego inc,$ 119.990
60. Crowne Plaza Barranquilla,$ 442.256
31. Washington Plaza Hotel,$ 165.793
32. Hilton Garden Inn Barranquilla,$ 294.521
33. Hotel Dann Carlton Barranquilla,$ 285.000
34. Radisson Diamond Barranquilla,$ 212.611
35. Hotel Faranda Express Puerta del Sol,$ 162.001
36. GHL Hotel Barranquilla,$ 208.208
37. Estelar Apartamentos Barranquilla,$ 263.740$ 198.000
38. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
39. Mamy Dorme Hostel,$ 50.000
40. Hotel Genova Prado,$ 145.000
41. Hotel Majestic,$ 170.000
42. Hotel Ayenda Caribe Princess,$ 128.253
43. Hotel Rivera Del Mar,$ 95.000
44. Aquarius Hotel by DOT Light,$ 86.100
45. Hotel Granada Inn,$ 64.309
46. Hotel Ayenda Costa Linda 1321,$ 122.448
47. Hotel Casa Boston by DOT Light,$ 80.669
48. Ayenda 1311 Doral,$ 90.000
49. MS Alto Prado Superior,$ 136.016
50. Casa Aluna,$ 75.000
51. Ribai Hotels,$ 132.000$ 120.000
52. Hotel Marcari,$ 100.820
53. Ayenda 1313 Barahona 72,$ 107.791
54. Vallclaire Suites,$ 207.900
55. Hotel Interamericano,$ 70.528
56. Hotel Or Suites,$ 141.016$ 140.000
57. Ayenda Villa Santos Apartaestudios 1323,$ 135.284$ 99.264
58. Hotel Del Mar Inn,$ 70.528
59. Hotel San Diego inc,$ 119.990
60. Crowne Plaza Barranquilla,$ 442.256
Patrocinado      Aquarius Hotel by DOT Light,$ 86.100
31. Washington Plaza Hotel,$ 165.793
32. Hilton Garden Inn Barranquilla,$ 294.521
33. Hotel Dann Carlton Barranquilla,$ 285.000
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. Radisson Diamond Barranquilla,$ 212.611
Patrocinado      Hotel Boutique M by DOT Boutique,$ 118.800
36. GHL Hotel Barranquilla,$ 208.208
37. Estelar Apartamentos Barranquilla,$ 263.740$ 198.000
38. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
Patrocinado      NH Collection Barranquilla Smartsuites Royal,$ 228.943
41. Hotel Ayenda Caribe Princess,$ 128.253
42. Aquarius Hotel by DOT Light,$ 86.100
43. Hotel Casa Boston by DOT Light,$ 80.669
44. Hotel Rivera Del Mar,$ 95.000
45. Hotel Ayenda Costa Linda 1321,$ 122.448
Patrocinado      Holiday Inn Express Barranquilla Buenavista,$ 361.382
46. MS Alto Prado Superior,$ 136.016
47. Ribai Hotels,$ 132.000$ 120.000
48. Hotel Marcari,$ 100.820
49. San Francisco Hotel Barranquilla,$ 115.000
50. Ayenda 1313 Barahona 72,$ 107.791
Patrocinado      Hotel Virrey Inn,$ 137.941
51. Ayenda 1311 Doral,$ 90.000
52. Vallclaire Suites,$ 207.900
53. Hotel Colonial Inn,$ 70.935
54. Hostal Sun River,$ 119.900
55. Ayenda 1310 Estefania Princess,$ 107.176$ 98.660
Patrocinado      Hotel Atrium Plaza,$ 187.500
56. Hotel Interamericano,$ 70.528
57. Ayenda Villa Santos Apartaestudios 1323,$ 135.284$ 99.264
58. Hotel Del Mar Inn,$ 70.528
59. Hotel San Diego inc,$ 119.990
60. Crowne Plaza Barranquilla,$ 442.256
Patrocinado      Howard Johnson Hotel Versalles Barranquilla,$ 277.938
31. Washington Plaza Hotel,$ 165.793
32. Hilton Garden Inn Barranquilla,$ 294.521
33. Hotel Dann Carlton Barranquilla,$ 285.000
34. Radisson Diamond Barranquilla,$ 212.611
35. Hotel Faranda Express Puerta del Sol,$ 162.001
36. GHL Hotel Barranquilla,$ 208.208
37. Estelar Apartamentos Barranquilla,$ 263.740$ 198.000
38. Hotel Ayenda Casa Ballesteros 1318,$ 107.891
39. Mamy Dorme Hostel,$ 50.000
40. Hotel Genova Prado,$ 145.000
41. Hotel Majestic,$ 170.000
42. Hotel Ayenda Caribe Princess,$ 128.253
43. Hotel Rivera Del Mar,$ 95.000
44. Aquarius Hotel by DOT Light,$ 86.100
45. Hotel Granada Inn,$ 64.309
46. Hotel Ayenda Costa Linda 1321,$ 122.448
47. Hotel Casa Boston by DOT Light,$ 80.669
48. Ayenda 1311 Doral,$ 90.000
49. MS Alto Prado Superior,$ 136.016
50. Casa Aluna,$ 75.000
51. Ribai Hotels,$ 132.000$ 120.000
52. Hotel Marcari,$ 100.820
53. Ayenda 1313 Barahona 72,$ 107.791
54. Vallclaire Suites,$ 207.900
55. Hotel Interamericano,$ 70.528
56. Hotel Or Suites,$ 141.016$ 140.000
57. Ayenda Villa Santos Apartaestudios 1323,$ 135.284$ 99.264
58. Hotel Del Mar Inn,$ 70.528
59. Hotel San Diego inc,$ 119.990
60. Crowne Plaza Barranquilla,$ 442.256
31. Four Points by Sheraton Barranquilla,$ 203.967
32. Washington Plaza Hotel,$ 161.560
33. Hilton Garden Inn Barranquilla,$ 245.066
34. Hotel Faranda Express Puerta del Sol,$ 162.001
35. Radisson Diamond Barranquilla,$ 220.365
36. GHL Hotel Barranquilla,$ 200.992
37. Estelar Apartamentos Barranquilla,$ 261.800
38. Hotel Ayenda Casa Ballesteros 1318,$ 110.788
39. Hotel Genova Prado,$ 145.000
40. Hotel Majestic,$ 170.000
Patrocinado      Holiday Inn Express Barranquilla Buenavista,$ 307.926
41. Hotel Ayenda Caribe Princess,$ 134.665$ 128.253
42. Aquarius Hotel by DOT Light,$ 86.100
43. MS Alto Prado Superior,$ 135.466
44. Ribai Hotels,$ 132.000$ 120.000
45. Hotel Marcari,$ 108.947$ 100.820
Patrocinado      Crowne Plaza Barranquilla,$ 473.684
46. Hotel Colonial Inn,$ 70.648
47. Hostal Sun River,$ 119.900
48. Ayenda 1310 Estefania Princess,$ 107.733$ 99.582
49. Hotel Suites Caribe,$ 85.000
50. Hotel Boutique M by DOT Boutique,$ 93.968$ 93.500
51. Ayenda 1309 Villa Dilia,$ 114.587
52. Casa Caribe Colonial,$ 81.000
53. Crowne Plaza Barranquilla,$ 472.557
54. Hotel Rivera Del Mar,
55. Hotel Casa Boston by DOT Light,
56. Hotel Ayenda Costa Linda 1321,
57. Ayenda 1313 Barahona 72,
58. Ayenda 1316 Charthon,
59. Ibis Budget Barranquilla,
60. Ayenda 1315 Candiac,
